topic,strategy,rank,tts,tts_tfidf,kis
393,s1,1,merci,relev,kevorkian
393,s1,2,kill,merci,suicid
393,s1,3,identifi,case,patient
393,s1,4,document,kill,doctor
393,s1,5,discuss,mention,euthanasia
393,s1,6,all,descript,dr
393,s1,7,individu,murder,assist
393,s1,8,case,document,die
393,s1,9,relev,victim,death
393,s1,10,except,specif,medic
350,s1,1,health,termin,ergonom
350,s1,2,comput,carpel,comput
350,s1,3,termin,comput,keyboard
350,s1,4,hazard,health,injuri
350,s1,5,individu,cataract,vdt
350,s1,6,work,daili,repetit
350,s1,7,daili,allevi,termin
350,s1,8,basi,fatigu,worker
350,s1,9,relev,disord,wrist
350,s1,10,document,tunnel,carpal
394,s1,1,home,data,school
394,s1,2,school,relev,home
394,s1,3,identifi,home,children
394,s1,4,document,educ,parent
394,s1,5,discuss,environ,educ
394,s1,6,educ,document,schooler
394,s1,7,children,children,student
394,s1,8,relev,school,she
394,s1,9,would,disadvantag,teacher
394,s1,10,contain,classroom,famili
353,s1,1,antarctica,antarctica,antarctica
353,s1,2,explor,scientif,ozon
353,s1,3,identifi,systemat,ic
353,s1,4,systemat,explor,antarct
353,s1,5,scientif,document,scientist
353,s1,6,investig,ionospher,atmospher
353,s1,7,current,seismolog,dr
353,s1,8,plan,non,pole
353,s1,9,document,e.g,sea
353,s1,10,discuss,discuss,deplet
397,s1,1,automobil,automobil,recal
397,s1,2,recal,recal,car
397,s1,3,identifi,document,ford
397,s1,4,document,relev,vehicl
397,s1,5,discuss,discuss,defect
397,s1,6,reason,specifi,motor
397,s1,7,relev,reason,safeti
397,s1,8,specifi,truck,mitsubishi
397,s1,9,major,manufactur,model
397,s1,10,minor,identifi,toyota
310,s1,1,radio,cancer,cancer
310,s1,2,wave,brain,electromagnet
310,s1,3,brain,radio,studi
310,s1,4,cancer,mobil,field
310,s1,5,evid,tower,radiat
310,s1,6,from,phone,brain
310,s1,7,tower,car,phone
310,s1,8,car,incid,tumor
310,s1,9,mobil,wave,cell
310,s1,10,phone,popul,power
354,s1,1,journalist,journalist,journalist
354,s1,2,risk,hostag,pearl
354,s1,3,identifi,e.g,kill
354,s1,4,instanc,instanc,report
354,s1,5,where,arrest,mr
354,s1,6,ha,identifi,hostag
354,s1,7,been,risk,sheikh
354,s1,8,put,kill,kidnap
354,s1,9,e.g,relev,pakistani
354,s1,10,kill,taken,pakistan
355,s1,1,ocean,remot,satellit
355,s1,2,remot,ocean,ocean
355,s1,3,sens,relev,earth
355,s1,4,identifi,sens,sea
355,s1,5,document,applic,scientist
355,s1,6,discuss,document,climat
355,s1,7,develop,seab,ic
355,s1,8,applic,oceanographi,data
355,s1,9,space,apertur,dr
355,s1,10,oceanographi,mine,space
399,s1,1,oceanograph,oceanograph,ship
399,s1,2,vessel,vessel,ocean
399,s1,3,identifi,relev,sea
399,s1,4,document,activ,submarin
399,s1,5,discuss,document,deep
399,s1,6,activ,equip,water
399,s1,7,equip,oceanographi,scientist
399,s1,8,relev,undersea,vessel
399,s1,9,contain,monitor,oceanograph
399,s1,10,inform,ship,dr
356,s1,1,postmenopaus,estrogen,hormon
356,s1,2,estrogen,postmenopaus,estrogen
356,s1,3,britain,kingdom,breast
356,s1,4,identifi,relev,cancer
356,s1,5,document,britain,women
356,s1,6,discuss,hormon,androgen
356,s1,7,us,suppress,menopaus
356,s1,8,women,therapi,testosteron
356,s1,9,hormon,document,therapi
356,s1,10,replac,unit,studi
433,s1,1,greek,stoicism,greek
433,s1,2,philosophi,stoic,novel
433,s1,3,stoicism,greek,stockdal
433,s1,4,contemporari,philosophi,univers
433,s1,5,interest,relev,stoic
433,s1,6,actual,philosoph,philosoph
433,s1,7,refer,product,life
433,s1,8,philosoph,contemporari,mee
433,s1,9,product,artist,philosophi
433,s1,10,stoic,actual,epictetu
435,s1,1,curb,popul,popul
435,s1,2,popul,relev,famili
435,s1,3,growth,curb,birth
435,s1,4,what,measur,contracept
435,s1,5,measur,involuntarili,plan
435,s1,6,have,growth,china
435,s1,7,been,famin,women
435,s1,8,taken,passiv,children
435,s1,9,worldwid,taken,steril
435,s1,10,countri,been,child
677,s1,1,lean,pisa,tower
677,s1,2,tower,tower,pisa
677,s1,3,pisa,lean,lean
677,s1,4,what,measur,tilt
677,s1,5,effort,relev,jamiolkowski
677,s1,6,have,reinforc,pisan
677,s1,7,been,effort,granchi
677,s1,8,made,stabil,toniolo
677,s1,9,stabil,provid,reopen
677,s1,10,how,document,ingot
436,s1,1,railwai,accid,train
436,s1,2,accid,railwai,accid
436,s1,3,what,relev,railroad
436,s1,4,caus,railroad,derail
436,s1,5,throughout,streetcar,crash
436,s1,6,world,safeti,amtrak
436,s1,7,relev,trollei,track
436,s1,8,document,document,passeng
436,s1,9,provid,locomot,car
436,s1,10,data,pedestrian,said
439,s1,1,invent,discoveri,patent
439,s1,2,scientif,scientif,research
439,s1,3,discoveri,invent,dr
439,s1,4,what,relev,laser
439,s1,5,new,astronomi,chip
439,s1,6,have,patent,devic
439,s1,7,been,descript,transistor
439,s1,8,made,defin,molecul
439,s1,9,word,document,optic
439,s1,10,descript,occur,silicon
362,s1,1,human,smuggl,immigr
362,s1,2,smuggl,human,smuggl
362,s1,3,identifi,incid,smuggler
362,s1,4,incid,smuggler,illeg
362,s1,5,relev,monetari,chines
362,s1,6,document,relev,border
362,s1,7,show,ten,said
362,s1,8,least,document,mexican
362,s1,9,ten,be,ship
362,s1,10,be,will,were
363,s1,1,transport,tunnel,tunnel
363,s1,2,tunnel,disast,train
363,s1,3,disast,relev,subwai
363,s1,4,what,transport,fire
363,s1,5,have,document,station
363,s1,6,occur,occur,transit
363,s1,7,us,sewag,passeng
363,s1,8,relev,etc,said
363,s1,9,document,earthquak,car
363,s1,10,identifi,accident,were
321,s1,1,women,represent,women
321,s1,2,parliament,pertin,elect
321,s1,3,pertin,women,polit
321,s1,4,document,parliament,candid
321,s1,5,reflect,legislatur,she
321,s1,6,fact,document,democrat
321,s1,7,continu,inclus,ms
321,s1,8,poorli,poorli,woman
321,s1,9,repres,decreas,vote
321,s1,10,across,mandat,parliament
442,s1,1,heroic,heroic,he
442,s1,2,act,relev,medal
442,s1,3,find,act,fire
442,s1,4,account,selfless,firefight
442,s1,5,selfless,descript,hi
442,s1,6,individu,document,rescu
442,s1,7,small,contain,honor
442,s1,8,group,specif,hero
442,s1,9,benefit,individu,heroism
442,s1,10,other,statement,sergeant
443,s1,1,u.,u.,africa
443,s1,2,invest,africa,african
443,s1,3,africa,sub,countri
443,s1,4,what,relev,south
443,s1,5,extent,government,aid
443,s1,6,govern,invest,saharan
443,s1,7,privat,privat,debt
443,s1,8,sub,membership,nigeria
443,s1,9,all,extent,world
443,s1,10,refer,document,invest
367,s1,1,piraci,piraci,pirat
367,s1,2,what,vessel,ship
367,s1,3,modern,relev,vessel
367,s1,4,instanc,fish,boat
367,s1,5,have,document,piraci
367,s1,6,been,discuss,klinghoff
367,s1,7,old,board,blyth
367,s1,8,fashion,clash,attack
367,s1,9,board,boat,hijack
367,s1,10,take,non,sea
400,s1,1,amazon,amazon,amazon
400,s1,2,rain,forest,forest
400,s1,3,forest,rain,brazil
400,s1,4,what,preserv,rain
400,s1,5,measur,measur,environment
400,s1,6,be,endeavor,brazilian
400,s1,7,taken,tropic,deforest
400,s1,8,local,relev,mend
400,s1,9,south,taken,tapper
400,s1,10,american,document,collor
445,s1,1,women,clergi,church
445,s1,2,clergi,e.g,anglican
445,s1,3,what,instal,bishop
445,s1,4,other,nun,archbishop
445,s1,5,countri,church,women
445,s1,6,besid,countri,ordain
445,s1,7,unit,choir,ordin
445,s1,8,state,pastor,priest
445,s1,9,consid,women,canterburi
445,s1,10,have,relev,cathol
325,s1,1,cult,cult,cult
325,s1,2,lifestyl,relev,sect
325,s1,3,describ,lifestyl,aum
325,s1,4,name,document,koresh
325,s1,5,identifi,name,asahara
325,s1,6,member,attain,member
325,s1,7,activ,clarifi,compound
325,s1,8,everydai,everydai,shinrikyo
325,s1,9,life,inform,davidian
325,s1,10,relev,member,group
404,s1,1,ireland,ireland,i.r.a
404,s1,2,peac,peac,sinn
404,s1,3,talk,violenc,fein
404,s1,4,how,relev,ireland
404,s1,5,often,act,protest
404,s1,6,were,interrupt,irish
404,s1,7,delai,disrupt,british
404,s1,8,disrupt,talk,northern
404,s1,9,result,attribut,peac
404,s1,10,act,directli,cathol
646,s1,1,food,stamp,stamp
646,s1,2,stamp,food,food
646,s1,3,increas,document,welfar
646,s1,4,find,relev,benefit
646,s1,5,document,elig,program
646,s1,6,discuss,discuss,immigr
646,s1,7,number,recipi,feder
646,s1,8,peopl,impli,state
646,s1,9,receiv,increas,recipi
646,s1,10,benefit,immigr,elig
408,s1,1,tropic,storm,hurrican
408,s1,2,storm,tropic,storm
408,s1,3,what,damag,damag
408,s1,4,hurrican,typhoon,flood
408,s1,5,typhoon,hurrican,wind
408,s1,6,have,caus,were
408,s1,7,caus,relev,island
408,s1,8,signific,slight,coast
408,s1,9,properti,extent,said
408,s1,10,damag,document,peopl
690,s1,1,colleg,document,colleg
690,s1,2,educ,advantag,job
690,s1,3,advantag,relev,wage
690,s1,4,find,colleg,worker
690,s1,5,document,cite,educ
690,s1,6,which,vocat,graduat
690,s1,7,describ,opportun,percent
690,s1,8,hire,educ,economist
690,s1,9,potenti,u.,employ
690,s1,10,increas,non,incom
372,s1,1,nativ,nativ,casino
372,s1,2,american,casino,tribe
372,s1,3,casino,gambl,indian
372,s1,4,identifi,american,gambl
